,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
1335,surulere,Off ojuelegbaOjuelegba Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,3 bedroom flat,1000000,,6CDVC,"Updated 20 Apr 2021, Added 21 Apr 2019",,"3 Bedrooms
D","3 bedroom flat for rent, all rooms en suite newly built, off bishop"
1337,surulere,off ishaga Lawanson Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,2 bedroom flat,1200000,,5CAZB,"Updated 20 Apr 2021, Added 20 Feb 2019",,,
1338,surulere,Raufu WilliamsAdelabu Surulere Lagos,3 beds 3 baths 2 Toilets,3,3,2,A Block of 4 flat 3 bedroom flat,1200000,,H0438,"Updated 20 Apr 2021, Added 25 Jul 2017",,3 Bedroom,3 bedroom Flat / Apartment for rent Off adelabu Adelabu Surulere Lagos
1340,surulere,by barracks offWestern Avenue Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,Standard and Sizeable Brand New Mini Flat,500000,,9CBJT,"Updated 20 Apr 2021, Added 02 Mar 2019",Newly Built,,
1341,surulere,Off bode thomasBode Thomas Surulere Lagos,3 beds 3 baths 2 Toilets,3,3,2,4 blocks of 3 bedroom flat new renovated house....,1300000,,H0217,"Updated 20 Apr 2021, Added 24 Jul 2017",,3 Bedroom,3 bedroom Flat / Apartment for rent Off bode thomas Bode Thomas Surulere Lagos
1343,surulere,Surulere bolaji banwo off onikoyi aguda.Aguda Surulere Lagos,3 beds 3 baths 4 Toilets,3,3,4,Executive 2 units of 3bedrooms flat,1500000,,7DWMY,"Updated 20 Apr 2021, Added 23 Sep 2020",Furnished Newly Built,,
1344,surulere,"ishaga,off ojuelegbaOjuelegba Surulere Lagos",2 beds 1 baths 1 Toilets,2,1,1,"Newly Renovated 2 Bedroom flat for letting at ishaga,off ojuelegba,surulere.The rent is 500,000 naira,minimum rent of 1 year",500000,,5CHRW,"Updated 20 Apr 2021, Added 18 Jun 2019",,,
1345,surulere,Ayeitoro Street Aguda Surulere Lagos,1 beds 1 baths 2 Toilets,1,1,2,Lovely newly built mini flat in a serene and secured neighborhood,600000,,9EKEA,"Updated 20 Apr 2021, Added 07 Mar 2021",Newly Built,,
1346,surulere,off bode thomasBode Thomas Surulere Lagos,3 beds 3 baths 3 Toilets,3,3,3,2 bedroom,1600000,,2CBW,"Updated 20 Apr 2021, Added 13 Mar 2019",,"3 Bedrooms
Cheap
D",newly built 2 bedroom flat for rent off bode thomas
1348,surulere,bode thomasBode Thomas Surulere Lagos,3 beds 4 baths 4 Toilets,3,4,4,3 Bedroom flat for rent,2000000,,3CBW,"Updated 20 Apr 2021, Added 13 Mar 2019",Furnished Newly Built,"3 Bedrooms
New
Cheap
Dry
Furnished",newly built 3bedroom flat rent off bode thomas
1350,surulere,OffadlabuAdelabu Surulere Lagos,2 beds 2 baths 3 Toilets,2,2,3,4 Block of 2 bedroom flat new renovated house,1200000,,H0216,"Updated 20 Apr 2021, Added 24 Jul 2017",,2 Bedroom,2 bedroom Flat / Apartment for rent Off adeabu Adelabu Surulere Lagos
1352,surulere,off bode thomasBode Thomas Surulere Lagos,1 beds 1 baths 1 Toilets,1,1,1,"Brand new 2 units Mini flat for letting at off bode thomas,surulere.The rent is 900,000 naira for each unit.minimum rent of 1 year",900000,,4CXR,"Updated 20 Apr 2021, Added 21 Jan 2020",Newly Built,"POP Ceiling
Security
Supermarket Nearby
Street Lights
Parking Space
Restaurants Nearby
Church Nearby
Security doors
Mosques Nearby
Big Compound
1 Bedrooms
New","Brand new 2 units Mini flat for letting at off bode thomas,surulere.The rent is 900,000 naira for each unit.minimum rent of 1 year.The property is suitable for 100% Residential Purpose"
