,location,specific_location,features,bed,bath,toilet,description,price,category,property_code,date_posted/updated,service_level,key_features,detail_description
9300,yaba,Alagomeji Yaba Lagos,beds baths Toilets,0,0,0,"Available Shop at Queen Street, Alagomeji, Yaba. Rent: 400k × 2yrs Rent",400000.0,,6CSFA,"Updated 15 Jan 2020, Added 16 Oct 2019",,,
9323,yaba,Ebute Metta Yaba Lagos,3 beds 3 baths 3 Toilets,3,3,3,"3 bedroom all room ensuite, with car park. rent 900k",900000.0,,2CTQE,"Updated 15 Jan 2020, Added 06 Nov 2019",,"All Room Ensuit
Big Compound
3 Bedroom","3 bedroom all room ensuite, with car park. rent 900k, a/c 150k,150k, utility bills 100k, caution fee 100k."
9325,yaba,Abule Oja Yaba Lagos,3 beds 2 baths 3 Toilets,3,2,3,"3 bed rm flat in abule oja 3t 2b in a block of 4 flat,g/floor 1m one year with car park",1000000.0,,1CWSU,"Updated 15 Jan 2020, Added 07 Jan 2020",,,
9326,yaba,Abule Oja Yaba Lagos,1 beds 1 baths 1 Toilets,1,1,1,"Still available!!! Newly built miniflat in abule Oja off University road, Yaba",450000.0,,3CWFG,"Updated 15 Jan 2020, Added 23 Dec 2019",Newly Built,,
9327,yaba,Sabo Yaba Lagos,beds baths Toilets,0,0,0,Ultra Modern Standard open office space in the heart of Yaba in a commercial complex 35k per sqm,28000000.0,,5CNXK,"Updated 15 Jan 2020, Added 02 Sep 2019",Newly Built,,
9328,yaba,Cemetery road Ebute Metta Yaba Lagos,beds baths 1 Toilets,0,0,1,For Lease: Open Office space directly on Cemetery road ebute meta east 1.2m asking,1200000.0,,4CLEU,"Updated 15 Jan 2020, Added 25 Jul 2019",,,"For Lease: Open Office space directly on Cemetery road ebute meta east , that could.be used for either warehouse or any kind of businesses even supermarket 1.2m asking"
9329,yaba,Marda BarracksYaba Lagos,3 beds 0 baths 0 Toilets,3,0,0,3 bedroom terrace house,2500000.0,,2CMAA,"Updated 15 Jan 2020, Added 06 Aug 2019",,3 Bedroom,To let!!! 3 bedrooms terrace at marda barracks off herbert macaulay road yaba...2.5m asking
9331,yaba,St finbarrs roadAkoka Yaba Lagos,0 beds 0 baths 0 Toilets,0,0,0,3 storey building with a massive open office,15000000.0,,7CFBT,"Updated 15 Jan 2020, Added 13 May 2019",,,
9332,yaba,Akoka Yaba Lagos,beds baths Toilets,0,0,0,"Massive Open Plan Commercial Property for Lease @st. Finbarrs rd Akoka Yaba, Lagos",7000000.0,,8CRHJ,"Updated 15 Jan 2020, Added 03 Oct 2019",,,"Massive Open Plan Commercial Property for Lease @st. Finbarrs rd Akoka Yaba, Lagos

A 3storey building with a massive open office , sitting on 2plots & facing 2streets on st finbarrs road, Akoka, Yaba suitable for any kind of business like school, hospital, churches etc and a lots of other business that requires space, 4m per floor, per annum, minimum of 3yrs long lease

Note: There is room for negotiations, bring your offer & let's proceed to the next level,"
9334,yaba,MoroccoYaba Lagos,2 beds baths Toilets,2,0,0,A newly renovated 2bedroom 700k at morrocco ground floor with car park in a gated and fenced compound with wardrobes,700000.0,,1CWGS,"Updated 15 Jan 2020, Added 24 Dec 2019",,,
